,DATE,TMIN,TAVG,TMAX
731,2018-01-01,48.535714285714285,58.910714285714285,70.39285714285714
732,2018-01-02,53.32142857142857,64.0,76.35714285714286
733,2018-01-03,54.0,63.035714285714285,72.14285714285714
734,2018-01-04,52.785714285714285,62.25,73.5
735,2018-01-05,52.857142857142854,61.535714285714285,71.60714285714286
736,2018-01-06,54.92857142857143,60.767857142857146,68.10714285714286
737,2018-01-07,53.642857142857146,62.107142857142854,71.64285714285714
738,2018-01-08,56.57142857142857,60.732142857142854,65.60714285714286
739,2018-01-09,48.25,53.464285714285715,59.035714285714285
740,2018-01-10,46.333333333333336,53.96296296296296,62.925925925925924
741,2018-01-11,48.17857142857143,58.75,69.85714285714286
742,2018-01-12,51.607142857142854,61.607142857142854,72.71428571428571
743,2018-01-13,55.32142857142857,66.625,80.07142857142857
744,2018-01-14,56.892857142857146,67.5,79.67857142857143
745,2018-01-15,51.785714285714285,61.82142857142857,72.64285714285714
746,2018-01-16,52.285714285714285,60.642857142857146,70.10714285714286
747,2018-01-17,53.142857142857146,63.642857142857146,75.39285714285714
748,2018-01-18,52.892857142857146,63.55357142857143,74.5
749,2018-01-19,48.892857142857146,56.07142857142857,62.92857142857143
750,2018-01-20,44.785714285714285,51.089285714285715,58.142857142857146
751,2018-01-21,40.857142857142854,50.5,60.92857142857143
752,2018-01-22,44.214285714285715,54.5,65.32142857142857
753,2018-01-23,47.392857142857146,58.92857142857143,71.64285714285714
754,2018-01-24,48.464285714285715,59.892857142857146,72.89285714285714
755,2018-01-25,44.07142857142857,52.94642857142857,61.82142857142857
756,2018-01-26,42.82142857142857,53.464285714285715,64.35714285714286
757,2018-01-27,46.714285714285715,58.57142857142857,70.5
758,2018-01-28,55.42857142857143,66.875,79.0
759,2018-01-29,59.607142857142854,70.83928571428571,82.64285714285714
760,2018-01-30,58.857142857142854,68.69642857142857,79.67857142857143
761,2018-01-31,54.25,65.69642857142857,78.89285714285714
762,2018-02-01,53.5,64.875,77.57142857142857
763,2018-02-02,55.035714285714285,66.80357142857143,80.64285714285714
764,2018-02-03,54.42857142857143,66.19642857142857,79.35714285714286
765,2018-02-04,54.7037037037037,66.46296296296296,80.11111111111111
766,2018-02-05,52.857142857142854,63.910714285714285,75.85714285714286
767,2018-02-06,51.464285714285715,61.69642857142857,73.35714285714286
768,2018-02-07,52.607142857142854,65.28571428571429,79.53571428571429
769,2018-02-08,53.892857142857146,66.64285714285714,81.03571428571429
770,2018-02-09,52.464285714285715,63.982142857142854,75.57142857142857
771,2018-02-10,51.32142857142857,58.535714285714285,66.32142857142857
772,2018-02-11,47.75,57.57142857142857,69.32142857142857
773,2018-02-12,46.77777777777778,53.111111111111114,59.925925925925924
774,2018-02-13,44.77777777777778,53.129629629629626,62.44444444444444
775,2018-02-14,50.035714285714285,57.0,65.57142857142857
776,2018-02-15,48.035714285714285,58.0,68.17857142857143
777,2018-02-16,49.857142857142854,60.160714285714285,71.67857142857143
778,2018-02-17,48.535714285714285,59.964285714285715,73.07142857142857
779,2018-02-18,45.642857142857146,55.5,65.64285714285714
780,2018-02-19,42.32142857142857,48.660714285714285,55.5
781,2018-02-20,36.32142857142857,46.142857142857146,56.607142857142854
782,2018-02-21,39.964285714285715,48.142857142857146,57.82142857142857
783,2018-02-22,38.857142857142854,47.589285714285715,57.25
784,2018-02-23,38.857142857142854,46.589285714285715,54.714285714285715
785,2018-02-24,37.714285714285715,48.642857142857146,60.32142857142857
786,2018-02-25,40.92857142857143,52.80357142857143,65.96428571428571
787,2018-02-26,40.714285714285715,51.80357142857143,62.714285714285715
788,2018-02-27,38.407407407407405,45.870370370370374,54.074074074074076
789,2018-02-28,37.464285714285715,47.660714285714285,58.607142857142854
790,2018-03-01,41.75,50.107142857142854,59.392857142857146
791,2018-03-02,46.785714285714285,51.160714285714285,55.964285714285715
792,2018-03-03,43.92857142857143,49.714285714285715,55.5
793,2018-03-04,38.785714285714285,49.017857142857146,59.42857142857143
794,2018-03-05,44.142857142857146,56.160714285714285,69.10714285714286
795,2018-03-06,49.25,61.42857142857143,74.67857142857143
796,2018-03-07,50.892857142857146,60.410714285714285,71.14285714285714
797,2018-03-08,49.67857142857143,60.660714285714285,73.32142857142857
798,2018-03-09,50.964285714285715,59.857142857142854,69.71428571428571
799,2018-03-10,53.32142857142857,56.107142857142854,59.42857142857143
800,2018-03-11,53.107142857142854,58.232142857142854,64.32142857142857
801,2018-03-12,53.42857142857143,60.964285714285715,70.28571428571429
802,2018-03-13,54.392857142857146,59.660714285714285,66.17857142857143
803,2018-03-14,49.785714285714285,55.232142857142854,61.25
804,2018-03-15,47.5,54.125,62.035714285714285
805,2018-03-16,45.55555555555556,51.31481481481482,57.22222222222222
806,2018-03-17,45.07142857142857,50.80357142857143,57.32142857142857
807,2018-03-18,41.57142857142857,51.0,60.57142857142857
808,2018-03-19,45.92857142857143,57.625,70.35714285714286
809,2018-03-20,51.285714285714285,59.625,68.96428571428571
810,2018-03-21,52.07142857142857,57.875,63.535714285714285
811,2018-03-22,53.214285714285715,57.57142857142857,62.0
812,2018-03-23,50.964285714285715,57.642857142857146,65.03571428571429
813,2018-03-24,47.7037037037037,54.166666666666664,61.7037037037037
814,2018-03-25,45.67857142857143,52.642857142857146,60.42857142857143
815,2018-03-26,44.464285714285715,54.964285714285715,66.28571428571429
816,2018-03-27,47.42857142857143,60.17857142857143,73.28571428571429
817,2018-03-28,50.67857142857143,62.17857142857143,74.32142857142857
818,2018-03-29,51.964285714285715,62.589285714285715,73.78571428571429
